#wall pressure measured along surface (S=0 is start of flare)
# S(cm) Pw/Pw-inf
 -1.130000019E+01 9.700000286E-01
 -1.030000019E+01 9.800000191E-01
 -9.300000191E+00 9.599999785E-01
 -8.300000191E+00 9.800000191E-01
 -7.300000191E+00 9.700000286E-01
 -6.300000191E+00 9.900000095E-01
 -5.300000191E+00 1.029999971E+00
 -4.300000191E+00 1.000000000E+00
 -3.299999952E+00 1.019999981E+00
 -2.299999952E+00 1.000000000E+00
 -1.299999952E+00 1.090000033E+00
 1.100000024E+00 2.019999981E+00
 1.600000024E+00 3.680000067E+00
 2.099999905E+00 5.309999943E+00
 2.599999905E+00 5.960000038E+00
 3.599999905E+00 7.420000076E+00
 4.099999905E+00 8.270000458E+00
 4.599999905E+00 9.100000381E+00
 5.099999905E+00 9.949999809E+00
 6.099999905E+00 1.080000019E+01
 7.099999905E+00 1.130000019E+01
 1.010000038E+01 1.214000034E+01
 1.210000038E+01 1.226000023E+01
 1.410000038E+01 1.250000000E+01
 1.410000038E+01 1.250000000E+01
 1.410000038E+01 1.250000000E+01
 1.410000038E+01 1.250000000E+01
