# wall heat transfer measured along surface (S=0 is start of flare)
# S(cm) Qw/Qw-inf
 -1.206000042E+01 9.800000191E-01
 -1.080000019E+01 1.049999952E+00
 -9.520000458E+00 1.059999943E+00
 -8.260000229E+00 1.019999981E+00
 -6.980000019E+00 1.029999971E+00
 -5.730000019E+00 1.000000000E+00
 -4.440000057E+00 1.029999971E+00
 -3.180000067E+00 1.009999990E+00
 -1.899999976E+00 9.900000095E-01
 -6.399999857E-01 8.600000143E-01
 1.100000024E+00 4.789999962E+00
 1.600000024E+00 4.170000076E+00
 2.099999905E+00 4.989999771E+00
 2.599999905E+00 5.269999981E+00
 3.099999905E+00 5.940000057E+00
 3.599999905E+00 5.739999771E+00
 4.599999905E+00 6.039999962E+00
 5.099999905E+00 7.989999771E+00
 6.099999905E+00 8.590000153E+00
 7.099999905E+00 8.739999771E+00
 8.100000381E+00 8.640000343E+00
 9.100000381E+00 8.770000458E+00
 1.010000038E+01 9.180000305E+00
 1.210000038E+01 9.680000305E+00
 1.310000038E+01 9.590000153E+00
 1.410000038E+01 9.359999657E+00
 1.510000038E+01 8.550000191E+00
