#at x=-6 (6 cm upstream of the flare)
# y(cm) u/Uinf TT/TTinf
 0.000000000E+00 0.000000000E+00 3.499999940E-01
 6.499999762E-02 4.699999988E-01 6.380000114E-01
 9.300000221E-02 6.010000110E-01 6.899999976E-01
 1.199999973E-01 6.990000010E-01 7.519999743E-01
 1.800000072E-01 7.590000033E-01 8.050000072E-01
 2.500000000E-01 7.910000086E-01 8.299999833E-01
 3.199999928E-01 8.220000267E-01 8.579999804E-01
 3.899999857E-01 8.360000253E-01 8.579999804E-01
 4.600000083E-01 8.579999804E-01 8.769999743E-01
 6.200000048E-01 8.960000277E-01 9.049999714E-01
 7.699999809E-01 9.290000200E-01 9.300000072E-01
 9.399999976E-01 9.539999962E-01 9.539999962E-01
 1.090000033E+00 9.670000076E-01 9.660000205E-01
 1.259999990E+00 9.819999933E-01 9.860000014E-01
 1.450000048E+00 9.860000014E-01 9.860000014E-01
 1.639999986E+00 9.919999838E-01 9.909999967E-01
 1.899999976E+00 9.990000129E-01 1.000000000E+00
 2.150000095E+00 1.000000000E+00 1.000000000E+00
 2.400000095E+00 1.000000000E+00 1.000000000E+00
 2.700000048E+00 1.000000000E+00 1.000000000E+00
 3.000000000E+00 1.000000000E+00 1.000000000E+00
