# Section 2 - 266mm
# y(mm) U(m/s)  M       T(K)     rho(kg/m^3)
0.15    500.2   1.636   232.48   0.06401
0.25    589.7   2.095   197.12   0.07549
0.35    612.6   2.239   186.21   0.07991
0.45    640.4   2.427   173.25   0.08589
0.55    657.8   2.557   164.71   0.09035
0.65    665.5   2.616   161.03   0.09241
0.75    680.2   2.735   153.92   0.09668
0.85    689.8   2.824   148.50   0.10021
1.05    700.9   2.924   142.95   0.10410
1.25    722.8   3.153   130.78   0.11379
1.45    734.7   3.287   124.26   0.11975
1.65    753.3   3.526   113.53   0.13108
1.95    767.2   3.728   105.34   0.14126
2.15    771.2   3.792   102.89   0.14462
2.65    794.8   4.213   88.52    0.16810
3.15    809.6   4.542   79.04    0.18826
3.65    819.7   4.792   72.80    0.20440
4.15    823.5   4.897   70.36    0.21150
4.65    825.8   4.961   68.92    0.21592
