# Strohaul and CD data for 2D cylinders
# Re CD Sr
10      2.991  -1
20      2.171  -1
40      1.641  -1
60      1.423  -1
80      1.410  0.147
100     1.373  0.160
200     1.282  0.184
400     1.214  0.200
600     1.162  0.213
800     1.106  0.220
1000    1.057  0.224
2000    0.942  0.240
4000    0.935  0.256
6000    0.963  0.253
8000    0.995  0.253
10000   1.016  0.256
20000   1.069  0.256
40000   1.114  0.256
60000   1.127  0.260
80000   1.134  0.260
100000  1.139  0.256
200000  1.152  0.264
400000  1.159  0.264
600000  1.163  0.260
800000  1.165  0.260
1000000 1.166  0.256
