# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 2.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#              
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.02           	-2.22989276e-08	1.53422933e+02	3.89053256e-05	1.94303639e-05	1.94749618e-05
0.04           	4.09949066e-08	5.18236539e+00	-6.20080801e-06	-3.05940910e-06	-3.14139891e-06
0.06           	2.86889493e-08	-1.66328504e+01	-9.08614250e-05	-4.54020235e-05	-4.54594014e-05
0.08           	9.61624249e-09	-1.18716598e+01	9.16124065e-05	4.58158195e-05	4.57965870e-05
0.1            	-5.50162072e-09	-6.75770639e+00	1.76206323e-05	8.80481455e-06	8.81581779e-06
0.12           	-1.38777737e-08	-3.69908763e+00	8.07334675e-05	4.03528560e-05	4.03806115e-05
0.14           	1.94738141e-08	-2.07059007e+00	-2.17968772e-05	-1.08789648e-05	-1.09179124e-05
0.16           	1.66983905e-07	-1.22304795e+00	-3.11557336e-05	-1.54108829e-05	-1.57448507e-05
0.18           	1.99130061e-07	-7.60099935e-01	-2.43541807e-05	-1.19779603e-05	-1.23762204e-05
0.2            	1.73274468e-07	-4.83358823e-01	-3.75380692e-05	-1.85957601e-05	-1.89423091e-05
0.22           	1.48671419e-07	-3.01007911e-01	-2.64044638e-05	-1.30535605e-05	-1.33509033e-05
0.24           	1.21882246e-07	-1.71627011e-01	-1.46118551e-06	-6.08710508e-07	-8.52475001e-07
0.26           	1.15434829e-07	-7.54379878e-02	-1.42837444e-05	-7.02643738e-06	-7.25730704e-06
0.28           	1.35766010e-07	-1.92376376e-03	-1.95841697e-05	-9.65631883e-06	-9.92785085e-06
0.3            	1.63576021e-07	5.53831801e-02	-1.58417481e-05	-7.75729803e-06	-8.08445007e-06
0.32           	1.86157103e-07	1.00514222e-01	-1.15078279e-05	-5.56775687e-06	-5.94007107e-06
0.34           	2.01373284e-07	1.36407333e-01	-1.77366653e-05	-8.66695937e-06	-9.06970594e-06
0.36           	1.74923256e-07	1.65205748e-01	1.37791389e-05	7.06449270e-06	6.71464619e-06
0.38           	1.52117045e-07	1.88498139e-01	-3.34724557e-05	-1.65841108e-05	-1.68883449e-05
0.4            	1.36002012e-07	2.07709060e-01	1.73577074e-05	8.81485572e-06	8.54285169e-06
0.42           	1.30467572e-07	2.23493887e-01	-2.74894515e-06	-1.24400500e-06	-1.50494015e-06
0.44           	1.40374502e-07	2.36672302e-01	-4.70255216e-06	-2.21090158e-06	-2.49165058e-06
0.46           	1.54693010e-07	2.47746928e-01	-1.30750770e-05	-6.38284549e-06	-6.69223151e-06
0.48           	1.68274775e-07	2.57181244e-01	-1.81272762e-05	-8.89536332e-06	-9.23191287e-06
0.5            	1.77688262e-07	2.65273790e-01	-2.46490537e-05	-1.21468386e-05	-1.25022151e-05
0.52           	1.82726781e-07	2.72320770e-01	-2.88722752e-05	-1.42534108e-05	-1.46188644e-05
0.54           	1.85030537e-07	2.78537473e-01	-3.32272078e-05	-1.64285733e-05	-1.67986344e-05
0.56           	1.85052496e-07	2.84345476e-01	-3.48337104e-05	-1.72318027e-05	-1.76019077e-05
0.58           	1.72856624e-07	2.89825544e-01	-4.25095196e-05	-2.10819032e-05	-2.14276164e-05
0.6            	1.55291069e-07	2.94976176e-01	-4.76161492e-05	-2.36527835e-05	-2.39633657e-05
0.62           	1.37248665e-07	2.99904808e-01	-5.13814560e-05	-2.55534793e-05	-2.58279767e-05
0.64           	1.20964576e-07	3.04413893e-01	-4.40204830e-05	-2.18892769e-05	-2.21312061e-05
0.66           	1.07110776e-07	3.08615836e-01	-4.50404083e-05	-2.24130934e-05	-2.26273149e-05
0.68           	9.44440390e-08	3.12669651e-01	-1.55104831e-05	-7.66079751e-06	-7.84968559e-06
0.7            	8.20383431e-08	3.16627516e-01	-1.20730646e-05	-5.95449393e-06	-6.11857062e-06
0.72           	7.03016509e-08	3.20568975e-01	-9.86508441e-06	-4.86224056e-06	-5.00284386e-06
0.74           	7.69587808e-09	3.24604355e-01	-1.21457982e-05	-6.06520322e-06	-6.08059498e-06
0.76           	4.62920290e-08	3.28856583e-01	-1.35757203e-05	-6.74156811e-06	-6.83415217e-06
0.78           	3.81946284e-08	3.30554139e-01	-1.53069468e-05	-7.61527879e-06	-7.69166805e-06
0.8            	3.23889566e-08	3.31131193e-01	-1.97595802e-05	-9.84740115e-06	-9.91217907e-06
0.82           	2.24415235e-08	3.32332452e-01	-1.36871837e-05	-6.82115030e-06	-6.86603335e-06
0.84           	1.90865158e-08	3.35699721e-01	-2.57627002e-05	-1.28622636e-05	-1.29004366e-05
0.86           	1.66384124e-08	3.35811580e-01	-2.20524044e-05	-1.10095638e-05	-1.10428406e-05
0.88           	1.39706575e-08	3.38145822e-01	-2.88236345e-05	-1.43978466e-05	-1.44257879e-05
0.9            	1.74282705e-09	3.42718088e-01	-1.48756188e-05	-7.43606655e-06	-7.43955221e-06
0.92           	-2.54998854e-09	3.46608898e-01	-1.62568837e-05	-8.13099184e-06	-8.12589186e-06
0.94           	-7.45996246e-09	3.51308312e-01	-1.48632381e-05	-7.43907902e-06	-7.42415910e-06
0.96           	-1.21642906e-08	3.55733577e-01	-2.91795911e-05	-1.46019598e-05	-1.45776312e-05
0.98           	-1.94833177e-08	3.61001729e-01	-2.43257556e-05	-1.21823611e-05	-1.21433945e-05
1              	-2.44113802e-08	3.65766556e-01	-1.87239331e-05	-9.38637795e-06	-9.33755519e-06
1.02           	-2.24099321e-08	3.69960307e-01	-1.70850427e-05	-8.56493126e-06	-8.52011140e-06
1.04           	-2.80666122e-08	3.74673162e-01	-1.72133879e-05	-8.63476055e-06	-8.57862732e-06
1.06           	-3.40154075e-08	3.79035284e-01	-1.70299599e-05	-8.54899535e-06	-8.48096454e-06
1.08           	-3.94042876e-08	3.84360315e-01	-1.74816027e-05	-8.78020565e-06	-8.70139708e-06
